"HolderAddress","Balance","PendingBalanceUpdate"
"0x1ccf9d6e47ea71e0266716a887a4c28cd5d45959","0.566853","No"
"0x283b400e744601e48341329c71c6b8bee780c5bd","0.564678","No"
"0x9392703550786e5276ce799051a7af92ea502f0f","0.53264","No"
"0x141fef8cd8397a390afe94846c8bd6f4ab981c48","0.514047","No"
"0xebad232e54cfea75d3c7437ac7e5452775997a8f","0.508751","No"
"0xdce42e8fee64d2f6808f1143cabc3b6fc4aff9b6","0.5021","No"
"0x45466a8ea9a3150a74368a68c2d123cbdb8360e0","0.50197702","No"
"0x56b8d7dc8de9a214b51458095f21f1a8013681bf","0.5","No"
"0x4047de9ac465ffda903f1073cd4a3df898e398c7","0.4995","No"
"0x3b9a8a0063b165344550ac42480be59395b06150","0.462675","No"
"0x1e38c2d920f47d832c76b4b49d29a9964bf51f3a","0.454435","No"
"0xed7ec29e58dc3a2028caeda8cc881a0ad0a8c0c7","0.448232","No"
"0xb866a81139116f7a7f0875901fada377b7086b31","0.40921","No"
"0x170d1ebfb8d6cdd82f19c41dac4333ffd441f2ca","0.398225","No"
"0x6e6125b36177519040a7b6d30b34514729bf8a1c","0.38996399","No"
"0x67e926936a8d3ef4d1136837930949a95569bf4c","0.381152","No"
"0xab930e565cad29ece7d143fc81ab876c68088fdd","0.3543","No"
"0x011b664de2707c59da4bad99772909cf65938d46","0.352868","No"
"0x7cbfa0c997c31b1ce4716e3df011a523dee96469","0.337266","No"
"0x17ad9f6f018e32ddbee1b2fae25bf0ae1c6ce662","0.333106","No"
"0xa0c1afa724e10996ffa8f1c75291d5a3cca2a020","0.319999","No"
"0x6e331459c5e54dfddb9a5c522b2a4c461eafa42c","0.30999999","No"
"0xabc1875d2884e340a005e7420b3bf332319f8187","0.305761","No"
"0x8af1528ac2164aa18a77664570cd70361cd15a18","0.298444","No"
"0x6db3e61773b2af28e7d98320e2b2eb43ab6a96d4","0.287193","No"
"0xde03f1b4507e665a008d502006cae79df6e3aea3","0.270691","No"
"0x165b59378d463d808cc287ee5af8ef88f6d7714b","0.249611","No"
"0xb5e9b58f6f05997345daa51e8f76dc136bcb269d","0.24206","No"
"0x366af92ce62cdbe66f42470df5b601226091d50a","0.229999","No"
"0x37e229da51d1c1e1bdf05e2c0d3e9493bfd33d6c","0.209144","No"
"0x29088b1ecc0b3563d21dbcc84d9a1298c32249d5","0.207954","No"
"0x3867c1d943ba74efb4abcaa71ad033472384f42c","0.20198298","No"
"0x0865d2bc08d4b6a60d44f424c2134e9a8a27fe7d","0.2","No"
"0x6b530d4a6c533b2fe0e34088afc45ca10ace415c","0.2","No"
"0xb7110ef1495f54b44efefb8e50f65a0102ae4f7f","0.2","No"
"0x1cf3ed1bb50ce41eb978be657b30e95c1e017362","0.2","No"
"0x3d385531b906f1fee5ac33f657609b9457d36fea","0.199753","No"
"0x3147a0d966b90190e693d1acc6eb876c86da4ad9","0.199688","No"
"0x9a00361eaf07e9349d1fae6b3f4822e0b6c15a37","0.1996","No"
"0x4523799324f5eb4692023a7d0da9211ae065dae3","0.199588","No"
"0xf87ebc6e9d640cb1625fecc708ddfac4ea3721a4","0.198418","No"
"0xa5638221534b14a09c0c9b53f6594b1b7cad61dd","0.185772","No"
"0x3469d0ca709059a8ac780acea6b35b572106acce","0.182227","No"
"0x4f381fb46dfde2bc9dcae2d881705749b1ed6e1a","0.181722","No"
"0x518647d7bb25c1b22f70b1344e26a06e7fb751c0","0.17829","No"
"0x04d450be8b713f61cc18461683c8f9bc6cd92587","0.1737","No"
"0x5aa84fc3e5114376e6f31242fcdbb8559e81dfc2","0.17","No"
"0xbc91c83222392d08c19462b28eab5512df3805b5","0.169424","No"
"0x36443163e9327cee2975ace74b953aac3fa82a50","0.168999","No"
"0x279c7047fe79b15cf7b11b09ebe40d935dc9e914","0.16799999","No"
"0x4846bc4bf6a46da5ed00be3f4750c699eafd0a7d","0.16706099","No"
"0x961229abc9e88ef9a906dab0c32e2c313dc37e13","0.163986","No"
"0x12f7211ec72ad8915832b3f0e82d1d600b418e46","0.15576599","No"
"0x0297bf84728551de978100e80effda4c912e6338","0.143616","No"
"0xf42c6fda8013a5b60fb7a13293eff331c5cdf874","0.141291","No"
"0xf0bd9d7b6c9efad3364edafa405aa7446bca8ed4","0.139299","No"
"0xc8e1c82510ceb21a1ac1dc2ec59e1e52608ffefe","0.137988","No"
"0x36dc9b69798c091a986327804003c8898cc7b6bb","0.136656","No"
"0x372914e6de0a5f11b8521c8de71628f97c163199","0.134814","No"
"0x4d39bdb2a08135fdf884d9a1f38c2afb768b39ea","0.13048298","No"
"0x8c83b739a72cdf0e562cfba9089b072683bcad88","0.130085","No"
"0xb4c8e62b7dce4d83bb2a24c70d7efe9c27f77d56","0.127053","No"
"0xd4048a90535df0e417a8d0abab64aa2ac3823945","0.123506","No"
"0xdb2b74662d01a08d7815341bd41a169b750dcb57","0.122617","No"
"0xf3163764da022fba82943a6f189d4f812e3af1e5","0.11926","No"
"0xf883bf3e51eaeb22ec781e8598d57bc2de5acc73","0.115696","No"
"0xe141bc0ee323730c5d1170755f2a804a7dba1e61","0.111787","No"
"0x65f87c8026cd1829cadf302e5509e8b8a224d0a5","0.110275","No"
"0xf3fa4c59c7ee704e064a86984898261f7c7ecc40","0.10949","No"
"0xce11161ab87804b16181711bdd18e9928de47815","0.10821","No"
"0x3db96ffaae1cb426dace5ea03c8e82daad5ab015","0.100199","No"
"0xe13512e4c9a007eb594a11f35e74bd48cdcec865","0.1","No"
"0x4d8f67979f6a8d4784033d7b528ccb21eb1828ce","0.1","No"
"0x12f309172af9d7a360bddd84183ee179109b1010","0.1","No"
"0xd4e1113d50b41d8f87ade14be1a9444a7f3eb020","0.1","No"
"0x868d203ea12ac5db6f7523c700f6d072982895cd","0.1","No"
